age,gender,how long have you been swimming competively ,what coping mechanism do you use to overcome / duce anxiety,do you find talking to someone helps ? i so who,what distance do you swim,what part of your race was affected ?,name ,do you think it was a good race ,was the time you gove a personal best ?,were you nervouse before the race ?,how do you think the nervousness affected your race ?,on a scale of 10 how nervous were you ,did your nervousness afftect you physically ,how long fore your race did you start to feel nervous ,do you think if you did not feel nervous goy would uave performed better ?,did you do anything to feel less nervous ,do you think it worked ? ,have you felt like this before in practice 
>21,male,1-3 years,breathing exercises,friend,short,sprint,Radhakrishnan Rajan,no,no,yes,in a negative way,8,yes,10 minutes,yes,no,no,no
19, female, 3-5 years, meditation, coach, long, middle, Sanjana Prasad, yes, yes, yes, in a positive way,7, no, 15 minutes, no, yes, yes,
22, male, 5-7 years, visualization, teammate, short, sprint, Arjun Menon, yes, yes, no, in a negative way,8, yes, 20 minutes, yes, yes, no,
18, female, 1-3 years, listening to music, family, medium, middle, Riya Nair, no, no, yes, in a positive way,6, no, 30 minutes, no, no, yes,
20, male, 7-10 years, deep breathing, friend, short, sprint, Vikram Singh, yes, yes, no, in a negative way,9, yes, 5 minutes, yes, no, yes,
21, female, 3-5 years, stretching, coach, long, endurance, Aishwarya Reddy, no, no, yes, in a positive way,6, no, 25 minutes, no, yes, no,
23, male, 10+ years, talking to family, sibling, short, sprint, Surya Verma, yes, no, yes, in a negative way,8, yes, 10 minutes, yes, no, yes,
19, female, 1-3 years, yoga, friend, medium, middle, Ananya Patil, yes, yes, no, in a positive way,5, no, 20 minutes, no, yes, no,
24, male, 7-10 years, focusing on technique, teammate, long, endurance, Rajesh Kumar, yes, yes, yes, in a negative way,7, yes, 15 minutes, yes, yes, no,
22, female, 5-7 years, breathing exercises, coach, short, sprint, Meera Iyer, no, no, yes, in a positive way,6, no, 30 minutes, no, no, yes,
20, male, 3-5 years, listening to music, friend, medium, middle, Karthik Sharma, yes, yes, no, in a negative way,9, yes, 5 minutes, yes, no, yes,
21, female, 1-3 years, meditation, family, long, endurance, Shweta Rao, no, no, yes, in a positive way,6, no, 25 minutes, no, yes, no,
18, male, 3-5 years, visualization, sibling, short, sprint, Aditya Bhat, yes, yes, yes, in a negative way,8, yes, 10 minutes, yes, no, yes,
23, female, 7-10 years, yoga, teammate, medium, middle, Nidhi Mehta, yes, no, yes, in a positive way,7, no, 20 minutes, no, yes, no,
22, male, 5-7 years, deep breathing, coach, long, endurance, Rohan Desai, no, no, yes, in a negative way,9, yes, 5 minutes, yes, no, yes,
19, female, 1-3 years, listening to music, friend, short, sprint, Kavya Joshi, yes, yes, no, in a positive way,6, no, 30 minutes, no, yes, no,
20, male, 7-10 years, meditation, family, medium, middle, Suresh Nair, no, no, yes, in a negative way,8, yes, 15 minutes, yes, no, yes,
